""	"d"	"p"	"c"	"o"	"f"	"g"
"OTU_367"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_368"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_369"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_370"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"
"OTU_371"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_372"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_373"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_374"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_375"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_376"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Gp6"
"OTU_377"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"
"OTU_378"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Gp6"
"OTU_379"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_380"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	"Chitinophagaceae [F]"
"OTU_381"	"Bacteria"	"(cd) WPS-2"	"(cd) WPS-2 [P]"	"(cd) WPS-2 [P]"	"(cd) WPS-2 [P]"	"(cd) WPS-2 [P]"
"OTU_382"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_383"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"
"OTU_384"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp17"	"Acidobacteria Gp17 [C]"	"Acidobacteria Gp17 [C]"	"Acidobacteria Gp17 [C]"
"OTU_385"	"Bacteria"	"(cd) WPS-2"	"(cd) WPS-2 [P]"	"(cd) WPS-2 [P]"	"(cd) WPS-2 [P]"	"(cd) WPS-2 [P]"
"OTU_386"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
