""	"d"	"p"	"c"	"o"	"f"	"g"
"OTU_4819"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4820"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp10"	"Acidobacteria Gp10 [C]"	"Acidobacteria Gp10 [C]"	"Acidobacteria Gp10 [C]"
"OTU_4821"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Luteibacter"
"OTU_4822"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_4823"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_4824"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Cellvibrio"
"OTU_4825"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_4826"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_4827"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_4828"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_4829"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4830"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonellaceae [F]"
"OTU_4831"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp3"	"Acidobacteria Gp3 [C]"	"Acidobacteria Gp3 [C]"	"Acidobacteria Gp3 [C]"
"OTU_4832"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4833"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_4834"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Gp6"
"OTU_4835"	"Bacteria"	"Acidobacteria"	"Holophagae"	"Holophagales"	"Holophagaceae"	"Holophagaceae [F]"
"OTU_4836"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4837"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4838"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4839"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"
"OTU_4840"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiales [O]"	"Burkholderiales [O]"
"OTU_4841"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_4842"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4843"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Gp6"
"OTU_4844"	"Bacteria"	"Chlamydiae"	"Chlamydiia"	"Chlamydiales"	"Chlamydiales [O]"	"Chlamydiales [O]"
"OTU_4845"	"Bacteria"	"Chlamydiae"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"
"OTU_4846"	"Bacteria"	"Chlamydiae"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"
"OTU_4847"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_4848"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacteriaceae [F]"
"OTU_4849"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_4850"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinobacteria [C]"	"Actinobacteria [C]"	"Actinobacteria [C]"
"OTU_4851"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_4852"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4853"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4854"	"Bacteria"	"Armatimonadetes"	"Armatimonadetes [P]"	"Armatimonadetes [P]"	"Armatimonadetes [P]"	"Armatimonadetes [P]"
"OTU_4855"	"Bacteria"	"Armatimonadetes"	"Armatimonadetes [P]"	"Armatimonadetes [P]"	"Armatimonadetes [P]"	"Armatimonadetes [P]"
"OTU_4856"	"Bacteria"	"Armatimonadetes"	"Armatimonadetes [P]"	"Armatimonadetes [P]"	"Armatimonadetes [P]"	"Armatimonadetes gp2"
"OTU_4857"	"Bacteria"	"Armatimonadetes"	"Armatimonadetes [P]"	"Armatimonadetes [P]"	"Armatimonadetes [P]"	"Armatimonadetes [P]"
"OTU_4858"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4859"	"Bacteria"	"Armatimonadetes"	"Armatimonadetes [P]"	"Armatimonadetes [P]"	"Armatimonadetes [P]"	"Armatimonadetes [P]"
"OTU_4860"	"Bacteria"	"Armatimonadetes"	"Armatimonadetes [P]"	"Armatimonadetes [P]"	"Armatimonadetes [P]"	"Armatimonadetes [P]"
"OTU_4861"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4862"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4863"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4864"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4865"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4866"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineae [C]"	"Anaerolineae [C]"	"Anaerolineae [C]"
"OTU_4867"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4868"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4869"	"Bacteria"	"Spirochaetes"	"Spirochaetia"	"Spirochaetia [C]"	"Spirochaetia [C]"	"Spirochaetia [C]"
"OTU_4870"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4871"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4872"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4873"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4874"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4875"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4876"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4877"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4878"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4879"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4880"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriia [C]"	"Sphingobacteriia [C]"	"Sphingobacteriia [C]"
"OTU_4881"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriia [C]"	"Sphingobacteriia [C]"	"Sphingobacteriia [C]"
"OTU_4882"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	"Chitinophagaceae [F]"
"OTU_4883"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	"Chitinophagaceae [F]"
"OTU_4884"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Sphingobacteriales [O]"	"Sphingobacteriales [O]"
"OTU_4885"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_4886"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_4887"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4888"	"Bacteria"	"Chloroflexi"	"Chloroflexi [P]"	"Chloroflexi [P]"	"Chloroflexi [P]"	"Chloroflexi [P]"
"OTU_4889"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4890"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4891"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4892"	"Bacteria"	"Chloroflexi"	"Chloroflexi [P]"	"Chloroflexi [P]"	"Chloroflexi [P]"	"Chloroflexi [P]"
"OTU_4893"	"Bacteria"	"Proteobacteria"	"Oligoflexia"	"Oligoflexales"	"Oligoflexaceae"	"Oligoflexus"
"OTU_4894"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4895"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4896"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4897"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4898"	"Bacteria"	"Chloroflexi"	"Chloroflexi [P]"	"Chloroflexi [P]"	"Chloroflexi [P]"	"Chloroflexi [P]"
"OTU_4899"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4900"	"Bacteria"	"Hydrogenedentes"	"Hydrogenedentes [P]"	"Hydrogenedentes [P]"	"Hydrogenedentes [P]"	"Hydrogenedentes [P]"
"OTU_4901"	"Bacteria"	"Actinobacteria"	"Actinobacteria [P]"	"Actinobacteria [P]"	"Actinobacteria [P]"	"Actinobacteria [P]"
"OTU_4902"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4903"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4904"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4905"	"Bacteria"	"Candidatus Saccharibacteria"	"Candidatus Saccharibacteria [P]"	"Candidatus Saccharibacteria [P]"	"Candidatus Saccharibacteria [P]"	"Candidatus Saccharibacteria [P]"
"OTU_4906"	"Bacteria"	"Candidatus Saccharibacteria"	"Candidatus Saccharibacteria [P]"	"Candidatus Saccharibacteria [P]"	"Candidatus Saccharibacteria [P]"	"Candidatus Saccharibacteria [P]"
"OTU_4907"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridia [C]"	"Clostridia [C]"	"Clostridia [C]"
"OTU_4908"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4909"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4910"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4911"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4912"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiaceae"	"Roseimicrobium"
"OTU_4913"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"
"OTU_4914"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"
"OTU_4915"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"
"OTU_4916"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"
"OTU_4917"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"
"OTU_4918"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4919"	"Bacteria"	"Verrucomicrobia"	"Subdivision3"	"Subdivision3 [C]"	"Subdivision3 [C]"	"Subdivision3 genera (is)"
"OTU_4920"	"Bacteria"	"Verrucomicrobia"	"Subdivision3"	"Subdivision3 [C]"	"Subdivision3 [C]"	"Subdivision3 genera (is)"
"OTU_4921"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"
"OTU_4922"	"Bacteria"	"Verrucomicrobia"	"Spartobacteria"	"Spartobacteria [C]"	"Spartobacteria [C]"	"Spartobacteria [C]"
"OTU_4923"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"
"OTU_4924"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"
"OTU_4925"	"Bacteria"	"Latescibacteria"	"Latescibacteria [P]"	"Latescibacteria [P]"	"Latescibacteria [P]"	"Latescibacteria [P]"
"OTU_4926"	"Bacteria"	"Latescibacteria"	"Latescibacteria [P]"	"Latescibacteria [P]"	"Latescibacteria [P]"	"Latescibacteria [P]"
"OTU_4927"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4928"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4929"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4930"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4931"	"Bacteria"	"Latescibacteria"	"Latescibacteria [P]"	"Latescibacteria [P]"	"Latescibacteria [P]"	"Latescibacteria [P]"
"OTU_4932"	"Bacteria"	"Latescibacteria"	"Latescibacteria [P]"	"Latescibacteria [P]"	"Latescibacteria [P]"	"Latescibacteria genera (is)"
"OTU_4933"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4934"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4935"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_4936"	"Bacteria"	"Acidobacteria"	"Acidobacteria [P]"	"Acidobacteria [P]"	"Acidobacteria [P]"	"Acidobacteria [P]"
"OTU_4937"	"Bacteria"	"BRC1"	"BRC1 [P]"	"BRC1 [P]"	"BRC1 [P]"	"BRC1 [P]"
"OTU_4938"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4939"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4940"	"Bacteria"	"BRC1"	"BRC1 [P]"	"BRC1 [P]"	"BRC1 [P]"	"BRC1 [P]"
"OTU_4941"	"Bacteria"	"BRC1"	"BRC1 [P]"	"BRC1 [P]"	"BRC1 [P]"	"BRC1 [P]"
"OTU_4942"	"Bacteria"	"BRC1"	"BRC1 [P]"	"BRC1 [P]"	"BRC1 [P]"	"BRC1 [P]"
"OTU_4943"	"Bacteria"	"BRC1"	"BRC1 [P]"	"BRC1 [P]"	"BRC1 [P]"	"BRC1 genera (is)"
"OTU_4944"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4945"	"Bacteria"	"BRC1"	"BRC1 [P]"	"BRC1 [P]"	"BRC1 [P]"	"BRC1 [P]"
"OTU_4946"	"Bacteria"	"BRC1"	"BRC1 [P]"	"BRC1 [P]"	"BRC1 [P]"	"BRC1 [P]"
"OTU_4947"	"Bacteria"	"BRC1"	"BRC1 [P]"	"BRC1 [P]"	"BRC1 [P]"	"BRC1 [P]"
"OTU_4948"	"Bacteria"	"Chloroflexi"	"Caldilineae"	"Caldilineae [C]"	"Caldilineae [C]"	"Caldilineae [C]"
"OTU_4949"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4950"	"Bacteria"	"Chloroflexi"	"Chloroflexi [P]"	"Chloroflexi [P]"	"Chloroflexi [P]"	"Chloroflexi [P]"
"OTU_4951"	"Bacteria"	"Chloroflexi"	"Caldilineae"	"Caldilineae [C]"	"Caldilineae [C]"	"Caldilineae [C]"
"OTU_4952"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4953"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4954"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4955"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4956"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4957"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_4958"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacteriaceae [F]"
"OTU_4959"	"Bacteria"	"Chloroflexi"	"Caldilineae"	"Caldilineae [C]"	"Caldilineae [C]"	"Caldilineae [C]"
"OTU_4960"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidia [C]"	"Bacteroidia [C]"	"Bacteroidia [C]"
"OTU_4961"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_4962"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4963"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4964"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_4965"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4966"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4967"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4968"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp10"	"Acidobacteria Gp10 [C]"	"Acidobacteria Gp10 [C]"	"Gp10"
"OTU_4969"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_4970"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4971"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridia [C]"	"Clostridia [C]"	"Clostridia [C]"
"OTU_4972"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridia [C]"	"Clostridia [C]"	"Clostridia [C]"
"OTU_4973"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4974"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4975"	"Bacteria"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadetes [C]"	"Gemmatimonadetes [C]"	"Gemmatimonadetes [C]"
"OTU_4976"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4977"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4978"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4979"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4980"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4981"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridia [C]"	"Clostridia [C]"	"Clostridia [C]"
"OTU_4982"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4983"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4984"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4985"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_4986"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"
"OTU_4987"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp10"	"Acidobacteria Gp10 [C]"	"Acidobacteria Gp10 [C]"	"Acidobacteria Gp10 [C]"
"OTU_4988"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_4989"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_4990"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"
"OTU_4991"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"
"OTU_4992"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Kaistia"
"OTU_4993"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardioidaceae"	"Nocardioidaceae [F]"
"OTU_4994"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_4995"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_4996"	"Bacteria"	"Acidobacteria"	"Acidobacteria [P]"	"Acidobacteria [P]"	"Acidobacteria [P]"	"Acidobacteria [P]"
"OTU_4997"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillaceae"	"Dongia"
"OTU_4998"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"
"OTU_4999"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Legionellaceae"	"Legionellaceae [F]"
